GEOHASH,LATITUDE,LONGITUDE,ISO3166-2-lvl4,aeroway,amenity,building,city,city_district,club,commercial,country,country_code,county,craft,district,farm,healthcare,highway,historic,house_number,industrial,landuse,leisure,locality,man_made,military,municipality,neighbourhood,office,postcode,province,quarter,railway,region,residential,road,shop,suburb,tourism,town,village
sxk7je,41.32782,28.723755,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34277,İstanbul,,,Marmara Bölgesi,,Maden Yolu Caddesi,,,,Arnavutköy,Yeniköy Mahallesi
sxkd1n,41.168518,28.877563,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34077,İstanbul,,,Marmara Bölgesi,,,,Göktürk Merkez Mahallesi,,Eyüpsultan,
sxk4wq,41.25641,28.405151,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,,İstanbul,,,Marmara Bölgesi,,D020,,,,Çatalca,Akalan Mahallesi
sxk3ed,41.058655,28.635864,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34522,İstanbul,,,Marmara Bölgesi,,,,Akçaburgaz Mahallesi,,Esenyurt,
sx7cyc,41.097107,28.075562,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34580,İstanbul,,,Marmara Bölgesi,,,,Çanta Balaban Mahallesi,,Silivri,
sx7uy6,41.629944,28.053589,TR-39,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,39480,Kırklareli,,,Marmara Bölgesi,,Vize Kıyıköy Yolu,,,,Vize,Kömürköy
sxhzux,40.778503,29.382935,TR-41,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,41700,Kocaeli,,,Marmara Bölgesi,,,,Nenehatun Mahallesi,,Darıca,
sxk4fm,41.29486,28.22937,TR-34,,,,,,,,Türkiye,tr,Silivri Orman Alanı,,,,,,,,,,Danamandıra Tabiat Parkı,,,,,,,34594,İstanbul,,,Marmara Bölgesi,,34-81,,,,Silivri,Danamandıra Mahallesi
sxkbc4,40.92682,29.229126,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34882,İstanbul,,,Marmara Bölgesi,,,,Yakacık Yeni Mahallesi,,Kartal,
sx7uhf,41.498108,27.98767,TR-59,,,,Güngörmez Mahallesi,,,,Türkiye,tr,,,Tekirdağ,,,,,,,,,,,,Saray,,,,,,,Marmara Bölgesi,Güngörmez,,,,,,Güngörmez
sxkfmg,41.195984,29.437866,TR-34,,,6,,,,,Türkiye,tr,,,,,,,,6,,,,,,,,,,34983,İstanbul,,,Marmara Bölgesi,,Safir Sokak,,,,Şile,Doğancılı Mahallesi
sxk1g6,41.1026,28.273315,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34570,İstanbul,,,Marmara Bölgesi,,,,Yeni Mahalle,,Silivri,
sxk6yd,41.27838,28.7677,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,,İstanbul,,,Marmara Bölgesi,,,,İmrahor Mahallesi,,Arnavutköy,
sxkdmd,41.19049,29.075317,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34450,İstanbul,,,Marmara Bölgesi,,,,Rumelikavağı Mahallesi,,Sarıyer,Rumelifeneri Mahallesi
sxkbf9,40.921326,29.295044,TR-34,,,D1 Blok,,,,,Türkiye,tr,,,,,,,,2/12,,,,,,,,,,34912,İstanbul,,,Marmara Bölgesi,Dumankaya Konsept İstanbul 2.Etap - 20 parsel,Dumankaya Konsept İstanbul 2.Etap,,Yenişehir Mahallesi,,Pendik,
sxkd25,41.195984,28.833618,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34076,İstanbul,,,Marmara Bölgesi,,Pirinççi Köy Yolu Sokak,,Pirinççi Mahallesi,,Eyüpsultan,
sx7fvh,41.289368,27.998657,TR-59,,Ideal Sürücü Kursu,,,,,,Türkiye,tr,,,Tekirdağ,,,,,,,,,,,,,,,59500,,,,Marmara Bölgesi,Çerkezköy,Atatürk Caddesi,,Gazi Osman Paşa Mahallesi,,Çerkezköy,
sxm1et,41.075134,29.690552,TR-34,,,,,Yazımanayır Mahallesi,,,Türkiye,tr,,,,,,,,,,,,,,,,,,,İstanbul,,,Marmara Bölgesi,,Yazıcı Sokağı,,,,Şile,
sxk3uk,41.113586,28.668823,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34492,İstanbul,,,Marmara Bölgesi,,,,Deliklikaya Mahallesi,,Arnavutköy,
sxk1w4,41.058655,28.394165,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34534,İstanbul,,,Marmara Bölgesi,,,,Celaliye Mahallesi,,Büyükçekmece,
sxkbyr,40.954285,29.459839,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34916,İstanbul,,,Marmara Bölgesi,,Atayurt Caddesi,,,,Pendik,Göçbeyli Mahallesi
sxk1vx,41.130066,28.372192,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34540,İstanbul,,,Marmara Bölgesi,,,,,,Çatalca,Ovayenice Mahallesi
sxk4kk,41.201477,28.31726,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34582,İstanbul,,,Marmara Bölgesi,,,,,,Silivri,Akören Mahallesi
sx7fsq,41.25641,27.965698,TR-59,,,,,Kızılpınar Namık Kemal Mahallesi,,,Türkiye,tr,,,Tekirdağ,,,,,,,,,,,,,,,59530,,,,Marmara Bölgesi,,Zafer Caddesi,,Kızılpınar Namık Kemal,,Çerkezköy,
