GEOHASH,LATITUDE,LONGITUDE,ISO3166-2-lvl4,aeroway,amenity,building,city,city_district,club,commercial,country,country_code,county,craft,district,farm,healthcare,highway,historic,house_number,industrial,landuse,leisure,locality,man_made,military,municipality,neighbourhood,office,postcode,province,quarter,railway,region,residential,road,shop,suburb,tourism,town,village,data_amount
sxkdh4,41.146545,29.0094,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34453.0,İstanbul,,,Marmara Bölgesi,,Büyükdere Bahçeköy Yolu,,PTT Evleri Mahallesi,,Sarıyer,,26736
sxkd40,41.13556,28.921509,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34075.0,İstanbul,,,Marmara Bölgesi,,,,Mithatpaşa Mahallesi,,Eyüpsultan,,28497
sxk3g2,41.091614,28.624878,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34500.0,İstanbul,,,Marmara Bölgesi,,Yiğittürk Caddesi,,Karaağaç Mahallesi,,Büyükçekmece,,28391
sxkf1g,41.15204,29.262085,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34869.0,İstanbul,,,Marmara Bölgesi,,,,,,Beykoz,Öğümce Mahallesi,28427
sxk3ks,41.025696,28.67981,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34513.0,İstanbul,,,Marmara Bölgesi,,903. Sokak,,Üçevler Mahallesi,,Esenyurt,,28506
sxkb8w,40.904846,29.207153,TR-34,,Kartal Köprüsü Otobüs Peronları,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34880.0,İstanbul,,,Marmara Bölgesi,,D100,,Orta Mahallesi,,Kartal,,28509
sxk917,40.976257,28.88855,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34142.0,İstanbul,,,Marmara Bölgesi,,Kennedy Caddesi,,Sakızağacı Mahallesi,مكان الريوك,Bakırköy,,28399
sxkbk3,40.833435,29.371948,TR-41,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34950.0,Kocaeli,,,Marmara Bölgesi,,Cumhuriyet Caddesi,,Atatürk Mahallesi,,Çayırova,,28489
sxk9jb,40.959778,29.086304,TR-34,,,,,,,,Türkiye,tr,,,,,,,,8,,,,,,,,,,34740.0,İstanbul,Ayşekadın,,Marmara Bölgesi,,Müzeyyen Sokağı,,Suadiye Mahallesi,,Kadıköy,,28202
sxk8wz,40.91034,29.130249,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34844.0,İstanbul,,,Marmara Bölgesi,,,,Yalı Mahallesi,,Maltepe,,28154
sxk6dm,41.250916,28.580933,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,,İstanbul,,,Marmara Bölgesi,,D020,,,,Çatalca,Kızılcaali Mahallesi,27334
sxkdhz,41.17401,29.042358,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34450.0,İstanbul,,,Marmara Bölgesi,,,,Maden Mahallesi,,Sarıyer,,28178
sxk3f6,41.1026,28.580933,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34500.0,İstanbul,,,Marmara Bölgesi,4 Mevsim İstanbul,Eskice Karaağaç Caddesi,,Karaağaç Mahallesi,,Büyükçekmece,,28248
sxk1wc,41.05316,28.427124,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34534.0,İstanbul,,,Marmara Bölgesi,,,,Celaliye Mahallesi,,Büyükçekmece,,28474
sxk3bs,41.113586,28.504028,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,,İstanbul,,,Marmara Bölgesi,,Çatalca Çevreyolu,,Ferhatpaşa Mahallesi,,Çatalca,Muratbey Merkez Mahallesi,28444
sxk98v,41.075134,28.866577,TR-34,,,,,,,,Türkiye,tr,,,,,,,,,,,,,,,,,,34235.0,İstanbul,,,Marmara Bölgesi,,Metris Kavşağı,,Oruçreis Mahallesi,,Esenler,,28499
