Name,LATITUDE,LONGITUDE,road,town,county,province,region,postcode,suburb
Pera Taksi,41.031267003,28.974206376,Meşrutiyet Caddesi,Beyoğlu,,İstanbul,Marmara Bölgesi,34430,Asmalı Mescit
TUZLA İSTASYON TAKSİ,40.828060701,29.3210715,Gönen Sokağı,Tuzla,,İstanbul,Marmara Bölgesi,34940,Istasyon
BEŞİKTAŞ CONRAD ÖNÜ TAKSİ DURAĞI,41.0465313010001,29.0086193,Saray Caddesi,Beşiktaş,,İstanbul,Marmara Bölgesi,34353,Cihannüma Mahallesi
İSPARK SÖĞÜTLÜ ÇEŞME METROBÜS,40.9918314010001,29.0376893,Metrobüs,Kadıköy,,İstanbul,Marmara Bölgesi,34722,Hasanpaşa Mahallesi
İSPARK GÜNGÖREN,41.004276401,28.8899654,Şair Ahmet Kutsi Tecer Caddesi,Güngören,,İstanbul,Marmara Bölgesi,34173,Abdurrahman Nafiz Gürman Mahallesi
DEPO TAKSİ,40.9882,28.9049,50/1. Sokak,Zeytinburnu,,İstanbul,Marmara Bölgesi,34020,Yenidoğan Mahallesi
SULTANAHMET DALBASTI SOKAK UATD  DURAĞI,41.0062808010001,28.9789914,Seyit Hasan Sokağı,Fatih,,İstanbul,Marmara Bölgesi,34122,Cankurtaran Mahallesi
TÜRKİYE HASTANESİ TAKSİ DURAĞI,41.0670648010001,28.9813903,,Şişli,,İstanbul,Marmara Bölgesi,34384,Merkez Mahallesi
KAVACIK PLAZA TAKSİ,41.109780174,29.113170542,Karadut Sokağı,Beykoz,,İstanbul,Marmara Bölgesi,34800,Soğuksu Mahallesi
BAKIRKÖY MEYDAN TAKSİ,40.981174201,28.8732593,Cumhuriyet Meydanı,Bakırköy,,İstanbul,Marmara Bölgesi,34147,Zuhuratbaba Mahallesi
YILDIRIM PARK TAKSİ DURAĞI,41.0656390010001,28.89327,Mucahit Sokağı,Bayrampaşa,,İstanbul,Marmara Bölgesi,34045,Yıldırım Mahallesi
OLİVİUM OUTLET CENTER TAKSİ,40.9959543800001,28.9102165080001,Prof. Dr. Muammer Aksoy Caddesi,Zeytinburnu,,İstanbul,Marmara Bölgesi,34020,Beştelsiz Mahallesi
ÖZEL EMSEY HASTANESİ ÖNÜ UMUMA AÇIK TAKSİ DURAĞI,40.9245078220001,29.2896815400001,Selçuklu Caddesi,Pendik,,İstanbul,Marmara Bölgesi,34912,Çamlık Mahallesi
SİLİVRİ OTOGAR TAKSİ DURAĞI,41.0721000010001,28.2634,Albay Yunus Dirik Caddesi,Silivri,,İstanbul,Marmara Bölgesi,34570,Alibey Mahallesi
KÖŞK TAKSİ IHLAMUR,41.087554201,29.0142327,Faruk Nafiz Çamlıbel Sokağı,Beşiktaş,,İstanbul,Marmara Bölgesi,34330,Konaklar Mahallesi
