STATION_CODE,STATION_NAME,DISTRICT,DIRECTION,STOP_TYPE,LATITUDE,LONGITUDE
215471,ÜMRANİYE MERKEZ ANADOLU LİSESİ,Ümraniye,K.KARABEKIR,CCMODERNDR,41.0270129637346,29.1028759991903
224362,VALİDEBAĞ,Üsküdar,ÜSKÜDAR,İSTON GENİŞ,41.0120520005557,29.0382869999904
230101,30 AĞUSTOS İLKOKULU,Kadiköy,BOSTANCI,AÇIK DURAK,40.9736989677288,29.0929470193789
223731,GÜNEY SOKAK,Ümraniye,KAZIM KARABEKIR,İETTBAYRAK,41.0439430005608,29.0994049999914
202481,SAHİLKÖY  MEYDANI,Sile,KARAKIRAZ,İETTCAMLI,41.2025600005866,29.4125819999947
221211,ŞEHİT EROL MARANGOZ,Beykoz,ÜSKÜDAR,İETTCAMLI,41.1167360005726,29.1151799999914
217251,KASEM SOKAK,Sultanbeyli,ÜMRANIYE,İETTBAYRAK,40.9357950005437,29.2846789999939
129272,TEPEKENT,Büyükçekmece,B.ÇEKMECE-ÇATALCA,İETTBAYRAK,41.0596760046042,28.5350580222495
120592,TUĞLA FABRİKASI,Eyüpsultan,KEMERBURGAZ,İETTCAMLI,41.2206760005892,28.8320259999836
108002,SAHİL YOLU-2,Arnavutköy,KARABURUN,İETTCAMLI,41.3336350006074,28.7042619999758
128801,HİSARBEYLİ KÖPRÜSÜ,Çatalca,KARACAKÖY-ÇATALCA,İETTBAYRAK,41.3767650006135,28.4607529999452
128781,CELEPKÖY,Çatalca,KARACAKÖY-ÇATALCA,İETTCAMLI,41.3633870006116,28.5005239999523
125171,PİRİREİS,Bagcilar,AKSARAY IKITELLI,İETTBAYRAK,41.0458480005609,28.8253259999839
213821,CUMHURİYET PARKI,Atasehir,KADIKÖY,İETTBAYRAK,40.994452000553,29.1089879999916
201191,CUMHURİYET KÖYÜ SAPAĞI,Çekmeköy,RESADIYE,İETTBAYRAK,41.0765810005662,29.2510029999933
128651,SİLİVRİ,Silivri,YENIBOSNA METRO,İETTCAMLI,41.0759749991126,28.2513369999366
119922,İHSANİYE KÖYÜ,Eyüpsultan,KEMERBURGAZ,İETTCAMLI,41.2398180005922,28.8088559999825
116242,ATAMAN EVLERİ,Sariyer,SARIYER,İETTBAYRAK,41.2432639899141,29.0403519848063
116322,5.SOKAK,Sariyer,KILYOS,İETTBAYRAK,41.2023979892436,29.0237150321796
105751,VEFA,Fatih,AKSARAY,WALLMODERN,41.0176740005565,28.9568949999885
113401,YILDIZ TEKNİK ÜNİVERSİTESİ,Besiktas,BESIKTAS,WALLMODERN,41.051219000562,29.0084469999897
113463,ÇARŞI,Besiktas,ZINCIRLIKUYU,WALLMODERN,41.0788690005664,29.03064499999
177451,HABİPLER TRANSİT YOL,Sultangazi,ARNAVUTKÖY,İETTBAYRAK,41.132833976668,28.8260839861192
122712,BLOKLAR,Küçükçekmece,AVCILAR,İETTBAYRAK,40.9854150005511,28.7656459999811
230501,TAŞKÖPRÜ CADDESİ,Kadiköy,BOSTANCI,AÇIK DURAK,40.994424030358,29.0327210181092
201062,TÜRKER İNANOĞLU İLKOKULU,Beykoz,ÜMRANIYE 11ÇB,İETTCAMLI,41.0652670005643,29.145278999992
204611,EBUBEKİR CADDESİ,Sancaktepe,ORTADAG MAHALLESI,İSTON GENİŞ,40.9932750005529,29.2311429999932
227852,İSFALT,Üsküdar,TUZLA,CCMODERN,41.005696010626,29.0244570411135
177901,AKÇABURGAZ YOLU,Esenyurt,AKÇABURGAZ,İETTBAYRAK,41.0704650421542,28.6304289522789
226611,İSMEK,Atasehir,KADIKÖY,İETTMODERN,40.9785640005504,29.1409099999922
127872,1000.SOKAK,Esenyurt,H.DERE-ÖRNEK MAH.,İETTBAYRAK,41.0253280005573,28.6695069999742
115942,TUNCAY ARTUN CADDESİ,Sariyer,RESITPASA,CCMODERN,41.105885029132,29.0428689517373
127962,BATI KAPISI,Basaksehir,BOGAZKÖY,CCMODERN,41.0632120005633,28.6788819999749
102172,ULUBATLI HASAN CADDESİ,Basaksehir,KAYASEHIR,İETTBAYRAK,41.1030819822165,28.7685709660143
201572,ŞİRİNDERE CADDESİ,Beykoz,BEYKOZ 136,AÇIK DURAK,41.1417160013634,29.1494370024738
179161,ÇAYIRDERE YOLU,Silivri,SILIVRI,İETTCAMLI,41.2820880005948,28.1452619998357
228871,EVREN CADDESİ,Maltepe,KADIKÖY,CCMODERN,40.9722850005495,29.1448329999922
227362,SUBAY EVLERİ ,Maltepe,KADIKÖY,İETTBAYRAK,40.9246720005419,29.1680339999926
223542,KIRKLAR,Üsküdar,ÜMRANIYE,CCMODERNDR,41.0099970005554,29.0746229999911
205851,YUNUS EMRE,Atasehir,KADIKÖY,İETTBAYRAK,40.9928810005527,29.0919109999914
101452,AVCILAR METROBÜS,Avcilar,AVCILAR,İSTON DAR,40.9859610005512,28.7240369999785
106622,BİLGE HAN CADDESİ,Bayrampasa,CEVATPASA,İETTBAYRAK,41.0587860005631,28.9023579999868
216511,FİDANLIK,Üsküdar,ÜMRANIYE,CCMODERNDR,41.0225530313652,29.073184959215
125111,GÜNEŞPARK EVLERİ,Küçükçekmece,BAKIRKÖY,CCMODERN,41.0400569991158,28.7885760000094
261371,PEHLİVAN SOKAK,Sancaktepe,SULTANBEYLI,İETTBAYRAK,40.9618560005478,29.2231859999932
261522,HIZIR REİS SOKAK,Sancaktepe,SULTANBEYLI,İETTBAYRAK,40.9902979991171,29.2501390000097
112742,NALBANTTEPE,Sariyer,SARIYER,CCMODERNDR,41.187723986537,29.0397800129087
220622,BLOKLAR,Beykoz,KAVACIK,İETTCAMLI,41.0829669991151,29.0835690000113
116114,KILIÇPINAR,Sariyer,DEMIRCIKÖY,İETTBAYRAK,41.1876719854202,29.0157730449879
205572,MARMARA ÜNİVERSİTESİ GÜZEL SANATLAR FAKÜLTESİ,Kadiköy,KÜÇÜKÇAMLICA,WALLMODERN,41.0055930005547,29.0462139999905
227711,YAKACIK ÇOCUK HASTANESİ,Kartal,KADIKÖY,CCMODERNDR,40.9190079689655,29.2193310289222
125411,NAYMAN MAHALLESİ,Küçükçekmece,IKITELLI KÖPRÜSÜ,CCMODERN,41.0408680005601,28.7961789999825
125432,CUMHURİYET CADDESİ,Küçükçekmece,ATAKENT 2.ETAP,AÇIK DURAK,41.0454680005608,28.7954739999825
224532,MERKEZ CAMİİ,Atasehir,ÜMRANIYE,AÇIK DURAK,41.0051959991167,29.0826630000112
